match_id,season,phase,match_no,date,venue,batting_team,bowling_team,innings,final_or_needed_score,over,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder
202601,2026,Group Stage,1,"Mar 28, 2026","M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,201,0.1,Travis Head,Jacob Duffy,0,0,0,0,0,0,,,
202601,2026,Group Stage,1,"Mar 28, 2026","M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,201,0.2,Travis Head,Jacob Duffy,1,0,0,0,0,0,,,
202601,2026,Group Stage,1,"Mar 28, 2026","M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,201,0.3,Abhishek Sharma,Jacob Duffy,0,0,0,0,0,0,,,
202601,2026,Group Stage,1,"Mar 28, 2026","M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,201,0.4,Abhishek Sharma,Jacob Duffy,6,0,0,0,0,0,,,
202601,2026,Group Stage,1,"Mar 28, 2026","M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,201,0.5,Abhishek Sharma,Jacob Duffy,0,0,0,0,0,0,,,
202601,2026,Group Stage,1,"Mar 28, 2026","M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,201,0.6,Abhishek Sharma,Jacob Duffy,0,0,0,0,0,0,,,
202601,2026,Group Stage,1,"Mar 28, 2026","M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,201,1.1,Travis Head,Bhuvneshwar Kumar,1,0,0,0,0,0,,,
202601,2026,Group Stage,1,"Mar 28, 2026","M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,201,1.2,Abhishek Sharma,Bhuvneshwar Kumar,1,0,0,0,0,0,,,
202601,2026,Group Stage,1,"Mar 28, 2026","M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,201,1.3,Travis Head,Bhuvneshwar Kumar,1,0,0,0,0,0,,,
202601,2026,Group Stage,1,"Mar 28, 2026","M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,201,1.4,Abhishek Sharma,Bhuvneshwar Kumar,0,0,0,0,0,0,,,
202601,2026,Group Stage,1,"Mar 28, 2026","M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,201,1.4,Abhishek Sharma,Bhuvneshwar Kumar,0,1,1,0,0,0,,,
